data;strategy;symbol;interval;estimator;imbalance_method;stop_loss;regression_times;times_regression_profit_and_loss;CAI;ESTAVEL;SOBE;max_score;numeric_features;regression_features;train_size;use-all-data-to-train;start_train_date;start_test_date;fold;no-tune;model_name;arguments;count_numeric_features
2023-10-26 14:29:49;CAI;ADAUSDT;1h;knn;allknn;1.5;0;24;0.6066;0.3258;0.1694;0.6066;quote_asset_volume,number_of_trades;;0.7;False;2017-11-01;2023-07-28 11:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5', '-numeric-features=volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume', '-regression-PnL-list=24', '-regression-times-list=0', '-start-train-date=2017-11-01', '-start-test-date=2023-07-01'];2
2023-10-30 03:49:08;CAI;ADAUSDT;1m;knn;instancehardnessthreshold;1.0;0;120;0.7626;0.0976;0.0955;0.7626;close,volume,quote_asset_volume,rsi;;0.7;False;2023-06-01;2023-08-01 03:34:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=1m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=close,volume,quote_asset_volume,number_of_trades', '-regression-PnL-list=120', '-regression-times-list=0', '-start-train-date=2023-06-01', '-start-test-date=2023-07-01'];4
2023-10-30 03:47:56;SOBE;ADAUSDT;1m;knn;instancehardnessthreshold;1.0;0;120;0.0563;0.2185;0.6774;0.6774;close,ema_120p,ema_200p;;0.7;False;2023-06-01;2023-08-01 03:34:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=1m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=close,volume,quote_asset_volume,number_of_trades', '-regression-PnL-list=120', '-regression-times-list=0', '-start-train-date=2023-06-01', '-start-test-date=2023-07-01'];3
2023-10-23 08:59:20;CAI;ADAUSDT;30m;knn;allknn;1.0;0;48;0.7361;0.1088;0.1757;0.7361;number_of_trades,taker_buy_base_asset_volume,ema_48p,ema_200p;;0.7;False;2020-10-01;2023-07-24 20:30:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-verbose', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=30m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume', '-regression-PnL-list=48', '-regression-times-list=0', '-start-train-date=2020-10-01', '-start-test-date=2023-07-01'];4
2023-10-23 06:52:57;SOBE;ADAUSDT;30m;knn;allknn;1.0;0;48;0.5499;0.0265;0.4683;0.5499;rsi;;0.7;False;2020-10-01;2023-07-24 20:30:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-verbose', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=30m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume', '-regression-PnL-list=48', '-regression-times-list=0', '-start-train-date=2020-10-01', '-start-test-date=2023-07-01'];1
2023-10-25 16:29:47;CAI;ATOMUSDT;15m;knn;allknn;1.0;0;60;0.5631;0.2033;0.291;0.5631;quote_asset_volume;;0.7;False;2022-02-01;2023-07-27 03:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=15m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume', '-regression-PnL-list=60', '-regression-times-list=0', '-start-train-date=2022-02-01', '-start-test-date=2023-07-01'];1
2023-10-25 16:41:52;SOBE;ATOMUSDT;15m;knn;repeatededitednearestneighbours;1.0;0;60;0.2545;0.0629;0.7341;0.7341;ema_60p,ema_200p;;0.7;False;2022-02-01;2023-07-27 03:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=15m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume', '-regression-PnL-list=60', '-regression-times-list=0', '-start-train-date=2022-02-01', '-start-test-date=2023-07-01'];2
2023-10-27 07:48:44;CAI;ATOMUSDT;1h;knn;allknn;1.5;0;24;0.6376;0.0721;0.3156;0.6376;number_of_trades;;0.7;False;2017-11-01;2023-07-28 21:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5', '-numeric-features=volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume', '-regression-PnL-list=24', '-regression-times-list=0', '-start-train-date=2017-11-01', '-start-test-date=2023-07-01'];1
2023-10-24 02:17:39;CAI;ATOMUSDT;1m;knn;instancehardnessthreshold;1.0;0;120;0.7795;0.1451;0.0958;0.7795;quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,ema_120p,ema_200p;;0.7;False;2023-06-01;2023-07-24 19:23:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=1m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume', '-regression-PnL-list=120', '-regression-times-list=0', '-start-train-date=2023-06-01', '-start-test-date=2023-07-01'];5
2023-10-24 02:56:07;SOBE;ATOMUSDT;1m;knn;repeatededitednearestneighbours;1.0;0;120;0.0;0.1946;0.9336;0.9336;volume,quote_asset_volume,number_of_trades,taker_buy_quote_asset_volume,rsi,ema_120p,ema_200p;;0.7;False;2023-06-01;2023-07-24 19:23:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=1m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume', '-regression-PnL-list=120', '-regression-times-list=0', '-start-train-date=2023-06-01', '-start-test-date=2023-07-01'];7
2023-10-25 15:35:48;CAI;ATOMUSDT;30m;knn;repeatededitednearestneighbours;1.0;0;48;0.7057;0.1405;0.1862;0.7057;quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,ema_48p,ema_200p;;0.7;False;2020-10-01;2023-07-27 02:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-verbose', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,XLMUSDT,LINKUSDT,XMRUSDT,ATOMUSDT', '-interval-list=30m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume', '-regression-PnL-list=48', '-regression-times-list=0', '-start-train-date=2020-10-01', '-start-test-date=2023-07-01'];5
2023-10-25 12:26:05;SOBE;ATOMUSDT;30m;knn;instancehardnessthreshold;1.0;0;48;0.3189;0.0913;0.559;0.559;ema_200p;;0.7;False;2020-10-01;2023-07-27 02:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-verbose', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,XLMUSDT,LINKUSDT,XMRUSDT,ATOMUSDT', '-interval-list=30m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume', '-regression-PnL-list=48', '-regression-times-list=0', '-start-train-date=2020-10-01', '-start-test-date=2023-07-01'];1
2023-10-25 08:01:59;CAI;AVAXUSDT;15m;knn;allknn;1.0;0;60;0.5946;0.2648;0.226;0.5946;taker_buy_base_asset_volume;;0.7;False;2022-02-01;2023-07-27 03:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=15m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume', '-regression-PnL-list=60', '-regression-times-list=0', '-start-train-date=2022-02-01', '-start-test-date=2023-07-01'];1
2023-10-29 14:19:30;SOBE;AVAXUSDT;15m;knn;allknn;1.0;0;60;0.2787;0.0644;0.6227;0.6227;close,ema_60p,ema_200p;;0.7;False;2022-02-01;2023-07-31 12:15:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=15m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=close,volume,quote_asset_volume,number_of_trades', '-regression-PnL-list=60', '-regression-times-list=0', '-start-train-date=2022-02-01', '-start-test-date=2023-07-01'];3
2023-10-28 14:07:54;CAI;AVAXUSDT;1h;knn;repeatededitednearestneighbours;1.5;0;24;0.7062;0.1059;0.2188;0.7062;close,volume,quote_asset_volume,ema_24p,ema_200p;;0.7;False;2017-11-01;2023-07-30 16:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5', '-numeric-features=close,volume,quote_asset_volume,number_of_trades', '-regression-PnL-list=24', '-regression-times-list=0', '-start-train-date=2017-11-01', '-start-test-date=2023-07-01'];5
2023-10-28 12:30:32;SOBE;AVAXUSDT;1h;knn;instancehardnessthreshold;1.5;0;24;0.5457;0.0051;0.5037;0.5457;close;;0.7;False;2017-11-01;2023-07-30 14:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5', '-numeric-features=close,quote_asset_volume,number_of_trades', '-regression-PnL-list=24', '-regression-times-list=0', '-start-train-date=2017-11-01', '-start-test-date=2023-07-01'];1
2023-10-30 08:50:38;CAI;AVAXUSDT;1m;knn;instancehardnessthreshold;1.0;0;120;0.8414;0.1115;0.0434;0.8414;close,quote_asset_volume,rsi;;0.7;False;2023-06-01;2023-08-01 03:35:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=1m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=close,volume,quote_asset_volume,number_of_trades', '-regression-PnL-list=120', '-regression-times-list=0', '-start-train-date=2023-06-01', '-start-test-date=2023-07-01'];3
2023-10-30 08:43:51;SOBE;AVAXUSDT;1m;knn;allknn;1.0;0;120;0.0091;0.1369;0.9554;0.9554;close;;0.7;False;2023-06-01;2023-08-01 03:35:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=1m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=close,volume,quote_asset_volume,number_of_trades', '-regression-PnL-list=120', '-regression-times-list=0', '-start-train-date=2023-06-01', '-start-test-date=2023-07-01'];1
2023-10-29 15:45:30;CAI;AVAXUSDT;30m;knn;allknn;1.5;0;48;0.5369;0.0491;0.4162;0.5369;close,rsi,ema_48p,ema_200p;;0.7;False;2020-10-01;2023-07-31 12:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=30m', '-estimator-list=knn', '-stop-loss-list=1.5', '-numeric-features=close,volume,quote_asset_volume,number_of_trades', '-regression-PnL-list=48', '-regression-times-list=0', '-start-train-date=2020-10-01', '-start-test-date=2023-07-01'];4
2023-10-29 15:01:08;SOBE;AVAXUSDT;30m;knn;allknn;1.5;0;48;0.3785;0.0027;0.5098;0.5098;close,ema_48p;;0.7;False;2020-10-01;2023-07-31 12:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=30m', '-estimator-list=knn', '-stop-loss-list=1.5', '-numeric-features=close,volume,quote_asset_volume,number_of_trades', '-regression-PnL-list=48', '-regression-times-list=0', '-start-train-date=2020-10-01', '-start-test-date=2023-07-01'];2
2023-10-25 06:57:20;CAI;BCHUSDT;15m;knn;allknn;1.0;0;60;0.764;0.0597;0.1848;0.764;volume,quote_asset_volume,number_of_trades,ema_60p;;0.7;False;2022-02-01;2023-07-27 03:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=15m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume', '-regression-PnL-list=60', '-regression-times-list=0', '-start-train-date=2022-02-01', '-start-test-date=2023-07-01'];4
2023-10-25 06:35:29;SOBE;BCHUSDT;15m;knn;repeatededitednearestneighbours;1.0;0;60;0.3929;0.0066;0.6031;0.6031;ema_60p,ema_200p;;0.7;False;2022-02-01;2023-07-27 03:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=15m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume', '-regression-PnL-list=60', '-regression-times-list=0', '-start-train-date=2022-02-01', '-start-test-date=2023-07-01'];2
2023-10-30 08:13:30;CAI;BCHUSDT;1m;knn;repeatededitednearestneighbours;1.0;0;120;0.8031;0.0029;0.1837;0.8031;close,volume,ema_200p;;0.7;False;2023-06-01;2023-08-01 03:35:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=1m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=close,volume,quote_asset_volume,number_of_trades', '-regression-PnL-list=120', '-regression-times-list=0', '-start-train-date=2023-06-01', '-start-test-date=2023-07-01'];3
2023-10-30 08:15:34;SOBE;BCHUSDT;1m;knn;repeatededitednearestneighbours;1.0;0;120;0.0026;0.1728;0.8347;0.8347;close,quote_asset_volume,ema_200p;;0.7;False;2023-06-01;2023-08-01 03:35:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=1m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=close,volume,quote_asset_volume,number_of_trades', '-regression-PnL-list=120', '-regression-times-list=0', '-start-train-date=2023-06-01', '-start-test-date=2023-07-01'];3
2023-10-24 05:11:51;CAI;BCHUSDT;30m;knn;allknn;1.0;0;48;0.6385;0.0;0.3229;0.6385;number_of_trades,taker_buy_base_asset_volume,ema_48p,ema_200p;;0.7;False;2020-10-01;2023-07-25 18:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-verbose', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=30m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume', '-regression-PnL-list=48', '-regression-times-list=0', '-start-train-date=2020-10-01', '-start-test-date=2023-07-01'];4
